Date,City,Program,Campaign,Donor_Type,Donation_Amount_INR,Beneficiaries,Volunteers,Expenses_INR,Event_Type,Gender_Focus,Age_Group,New_Donors,Returning_Donors,Meals_Distributed,Clothes_Distributed,Sanitary_Kits_Distributed,Animals_Fed,Satisfaction_Score
1/6/2025,Lucknow,Clothes Distribution,Winter Warmth,Crowdfunding,51028,285,31,26135,Fundraiser,Women,Teenagers,9,11,0,285,0,0,3.9
1/6/2025,Gwalior,Health Camp,Medical Camp,Corporate,76014,66,19,48589,Awareness Session,Women,Children,23,24,0,0,0,0,3.7
1/7/2025,Delhi,Food Distribution,Weekend Meal Drive,Crowdfunding,35635,318,22,19398,Fundraiser,Children,Teenagers,6,13,954,0,0,0,4
1/7/2025,Lucknow,Education,Books for All,Crowdfunding,24949,200,45,19214,Distribution Drive,Youth,Mixed,18,11,0,0,0,0,4.1
1/7/2025,Noida,Clothes Distribution,Hope Closet,NGO Partner,62851,174,42,39363,Awareness Session,Youth,Adults,5,12,0,174,0,0,3.9
1/7/2025,Indore,Food Distribution,Zero Hunger,Crowdfunding,49815,85,24,28157,Awareness Session,Children,Teenagers,12,32,170,0,0,0,4.1
1/7/2025,Pune,Animal Welfare,Animal Care,Crowdfunding,39293,122,29,28539,Camp,Women,Adults,11,13,0,0,0,186,4.3
1/7/2025,Ahmedabad,Education,Digital Learning,Crowdfunding,63921,120,16,36895,Workshop,Children,Children,8,27,0,0,0,0,5
1/8/2025,Bhopal,Education,Digital Learning,Corporate,53121,103,31,42179,Workshop,All,Mixed,13,15,0,0,0,0,4.8
1/8/2025,Bhopal,Education,Digital Learning,NGO Partner,26432,321,20,12279,Distribution Drive,Children,Mixed,10,24,0,0,0,0,4.7
1/8/2025,Bhopal,Education,Back to School,Crowdfunding,26172,207,34,15522,Fundraiser,Women,Children,11,22,0,0,0,0,4.5
1/8/2025,Delhi,Women Hygiene,Dignity Drive,Individual,31570,137,39,19484,Training,Children,Children,7,24,0,0,137,0,4.2
1/8/2025,Ahmedabad,Animal Welfare,Feed the Strays,NGO Partner,22630,120,19,17934,Distribution Drive,All,Mixed,10,26,0,0,0,165,4.5
1/9/2025,Bhopal,Women Hygiene,Health Awareness,NGO Partner,30425,313,45,16970,Camp,Women,Adults,13,20,0,0,313,0,4.2
1/9/2025,Delhi,Animal Welfare,Street Animal Drive,Crowdfunding,43965,128,17,34369,Training,Youth,Mixed,25,21,0,0,0,172,3.5
1/9/2025,Gwalior,Clothes Distribution,Winter Warmth,NGO Partner,73978,135,9,56698,Training,Women,Teenagers,23,22,0,270,0,0,5
1/9/2025,Jaipur,Animal Welfare,Feed the Strays,Corporate,77096,218,19,44978,Awareness Session,Youth,Adults,13,12,0,0,0,72,4.1
1/9/2025,Ahmedabad,Women Hygiene,Health Awareness,Corporate,22709,270,20,17948,Awareness Session,Youth,Adults,16,23,0,0,270,0,3.7
1/10/2025,Lucknow,Animal Welfare,Street Animal Drive,NGO Partner,60262,100,20,46909,Awareness Session,Women,Children,11,13,0,0,0,136,4.7
1/10/2025,Gwalior,Women Hygiene,Pink Care,Individual,54179,119,31,28850,Training,Children,Mixed,19,17,0,0,119,0,4.8
1/10/2025,Noida,Education,Digital Learning,Corporate,70881,159,42,33974,Distribution Drive,Women,Mixed,22,22,0,0,0,0,3.6
1/10/2025,Jaipur,Animal Welfare,Animal Care,Individual,59865,285,24,38909,Training,Children,Mixed,25,28,0,0,0,63,4.2
1/11/2025,Delhi,Health Camp,Health Checkup,Individual,25443,83,37,12070,Workshop,All,Mixed,6,28,0,0,0,0,4.3
1/11/2025,Lucknow,Education,Back to School,Individual,46186,57,22,31149,Camp,Children,Teenagers,3,6,0,0,0,0,4.3
1/11/2025,Indore,Health Camp,Health Checkup,NGO Partner,31308,301,33,21007,Training,Women,Teenagers,21,34,0,0,0,0,4.1
1/11/2025,Indore,Animal Welfare,Animal Care,Corporate,71268,263,12,35392,Camp,All,Children,19,10,0,0,0,152,4.7
1/11/2025,Indore,Food Distribution,Community Kitchen,Corporate,74872,121,25,51925,Workshop,Youth,Adults,17,29,121,0,0,0,4.5
1/12/2025,Mumbai,Health Camp,Health Checkup,Corporate,36576,316,11,22040,Awareness Session,All,Adults,18,27,0,0,0,0,4.1
1/12/2025,Indore,Food Distribution,Community Kitchen,Individual,32468,245,17,24544,Workshop,Women,Teenagers,12,7,490,0,0,0,4.5
1/12/2025,Pune,Health Camp,Health Checkup,Crowdfunding,37638,197,13,28045,Distribution Drive,Women,Teenagers,11,26,0,0,0,0,4.9
1/12/2025,Pune,Food Distribution,Community Kitchen,NGO Partner,81863,131,24,46727,Training,Youth,Adults,12,24,131,0,0,0,4.9
1/12/2025,Ahmedabad,Animal Welfare,Street Animal Drive,Corporate,57794,305,38,28804,Workshop,Youth,Adults,13,14,0,0,0,129,3.9
1/12/2025,Ahmedabad,Food Distribution,Zero Hunger,Crowdfunding,71651,259,17,47062,Fundraiser,All,Mixed,19,21,777,0,0,0,4.5
1/13/2025,Bhopal,Clothes Distribution,Hope Closet,Crowdfunding,49687,275,19,30798,Fundraiser,Children,Adults,10,12,0,275,0,0,4
1/13/2025,Pune,Health Camp,Health Checkup,Crowdfunding,20528,100,35,13613,Training,Children,Adults,9,33,0,0,0,0,3.6
1/13/2025,Noida,Animal Welfare,Feed the Strays,Individual,26145,79,35,18261,Distribution Drive,Children,Adults,3,34,0,0,0,126,3.8
1/13/2025,Noida,Clothes Distribution,Festival Donation,Crowdfunding,49893,171,33,28483,Workshop,Youth,Adults,21,34,0,342,0,0,3.7
1/13/2025,Noida,Animal Welfare,Street Animal Drive,Individual,55114,197,24,36781,Training,All,Children,3,14,0,0,0,97,4.9
1/14/2025,Pune,Education,Books for All,Individual,77874,266,16,61325,Awareness Session,All,Teenagers,13,28,0,0,0,0,4.9
1/14/2025,Jaipur,Health Camp,Blood Donation,Individual,42402,233,12,26442,Camp,Youth,Adults,8,6,0,0,0,0,4.4
1/14/2025,Pune,Education,Back to School,Crowdfunding,78894,135,17,52554,Workshop,All,Children,12,15,0,0,0,0,4.7
1/14/2025,Bhopal,Food Distribution,Community Kitchen,Individual,92551,150,35,48750,Training,Women,Mixed,7,31,450,0,0,0,4.3
1/14/2025,Delhi,Clothes Distribution,Hope Closet,Corporate,43239,61,32,30456,Awareness Session,Women,Mixed,7,6,0,61,0,0,3.7
1/14/2025,Jaipur,Women Hygiene,Health Awareness,Crowdfunding,53839,308,28,31303,Camp,All,Mixed,25,7,0,0,308,0,4.1
1/15/2025,Lucknow,Animal Welfare,Street Animal Drive,Individual,20365,270,22,14935,Fundraiser,Youth,Mixed,19,27,0,0,0,226,3.8
1/15/2025,Ahmedabad,Education,Books for All,Crowdfunding,74491,230,40,39260,Training,Youth,Adults,13,31,0,0,0,0,4.4
1/15/2025,Lucknow,Food Distribution,Zero Hunger,Individual,52006,182,44,34987,Fundraiser,Youth,Children,5,33,182,0,0,0,4.9
1/15/2025,Gwalior,Women Hygiene,Pink Care,Corporate,24972,120,14,13703,Camp,Children,Children,3,14,0,0,120,0,4.6
1/15/2025,Ahmedabad,Food Distribution,Zero Hunger,NGO Partner,44539,220,15,26195,Workshop,Youth,Teenagers,25,34,440,0,0,0,4.5
1/15/2025,Jaipur,Animal Welfare,Street Animal Drive,Individual,57105,102,33,30489,Distribution Drive,Children,Adults,7,29,0,0,0,136,4.6
1/16/2025,Gwalior,Women Hygiene,Dignity Drive,Corporate,75008,92,29,48101,Fundraiser,All,Mixed,16,31,0,0,92,0,4.7
1/16/2025,Noida,Health Camp,Blood Donation,Corporate,61532,273,43,36575,Training,Children,Mixed,11,18,0,0,0,0,3.9
1/16/2025,Lucknow,Health Camp,Health Checkup,Individual,71042,195,17,35385,Distribution Drive,Youth,Children,16,16,0,0,0,0,4.2
1/16/2025,Bhopal,Health Camp,Blood Donation,Individual,45010,120,18,31184,Camp,Children,Mixed,3,33,0,0,0,0,4.9
1/16/2025,Jaipur,Clothes Distribution,Hope Closet,Crowdfunding,28227,307,29,14276,Training,Youth,Children,24,31,0,307,0,0,3.6
1/17/2025,Bhopal,Health Camp,Health Checkup,NGO Partner,55464,132,8,39029,Distribution Drive,Youth,Adults,14,19,0,0,0,0,4.9
1/17/2025,Mumbai,Education,Back to School,Crowdfunding,56124,280,39,27606,Distribution Drive,Youth,Adults,10,17,0,0,0,0,4
1/17/2025,Ahmedabad,Animal Welfare,Feed the Strays,Individual,36880,350,31,26171,Camp,Youth,Children,6,12,0,0,0,173,3.6
1/17/2025,Lucknow,Education,Books for All,Crowdfunding,39772,118,26,23546,Camp,All,Teenagers,16,7,0,0,0,0,3.7
1/17/2025,Gwalior,Food Distribution,Community Kitchen,Crowdfunding,40748,209,14,28512,Awareness Session,All,Mixed,17,27,418,0,0,0,4.8
1/18/2025,Lucknow,Food Distribution,Community Kitchen,NGO Partner,81312,72,37,46597,Camp,All,Children,17,30,144,0,0,0,3.8
1/18/2025,Indore,Animal Welfare,Street Animal Drive,Crowdfunding,60763,276,37,34649,Training,Children,Children,20,14,0,0,0,204,3.9
1/18/2025,Mumbai,Women Hygiene,Health Awareness,NGO Partner,62166,51,40,46468,Distribution Drive,Women,Adults,4,28,0,0,51,0,4.6
1/18/2025,Mumbai,Health Camp,Blood Donation,Corporate,50761,287,40,36171,Fundraiser,All,Adults,4,7,0,0,0,0,4.8
1/19/2025,Delhi,Women Hygiene,Dignity Drive,NGO Partner,26306,158,34,13298,Fundraiser,All,Mixed,7,12,0,0,158,0,4
1/19/2025,Ahmedabad,Education,Digital Learning,Corporate,41679,276,26,21558,Distribution Drive,All,Mixed,17,21,0,0,0,0,4.4
1/19/2025,Noida,Clothes Distribution,Festival Donation,Crowdfunding,37951,269,24,28479,Distribution Drive,Youth,Children,5,28,0,269,0,0,3.6
1/19/2025,Lucknow,Health Camp,Health Checkup,NGO Partner,32743,332,39,20522,Training,All,Mixed,18,25,0,0,0,0,4.2
1/19/2025,Lucknow,Animal Welfare,Animal Care,NGO Partner,70095,169,13,44442,Awareness Session,Children,Adults,4,28,0,0,0,157,4.7
1/20/2025,Jaipur,Clothes Distribution,Festival Donation,Corporate,70641,102,38,45485,Workshop,All,Children,5,16,0,204,0,0,4
1/20/2025,Gwalior,Health Camp,Health Checkup,NGO Partner,30097,100,35,16134,Awareness Session,Women,Teenagers,7,33,0,0,0,0,3.8
1/20/2025,Ahmedabad,Health Camp,Blood Donation,Corporate,56518,97,40,41383,Training,Women,Mixed,21,8,0,0,0,0,4.7
1/20/2025,Jaipur,Women Hygiene,Pink Care,Corporate,64348,75,32,50881,Training,All,Mixed,7,15,0,0,75,0,4.8
1/20/2025,Lucknow,Women Hygiene,Health Awareness,Crowdfunding,37736,302,12,18802,Awareness Session,Youth,Children,24,18,0,0,302,0,5
1/21/2025,Gwalior,Health Camp,Health Checkup,NGO Partner,70574,321,45,42762,Workshop,Women,Teenagers,21,15,0,0,0,0,4.6
1/21/2025,Noida,Animal Welfare,Feed the Strays,Crowdfunding,53677,146,15,40646,Awareness Session,Youth,Children,14,15,0,0,0,164,4.7
1/21/2025,Lucknow,Food Distribution,Community Kitchen,Individual,54053,175,17,37247,Workshop,Women,Children,10,27,175,0,0,0,4.3
1/21/2025,Gwalior,Animal Welfare,Animal Care,Corporate,37649,225,44,24470,Camp,Youth,Children,7,19,0,0,0,191,4.9
1/22/2025,Pune,Animal Welfare,Street Animal Drive,Corporate,78187,193,11,51095,Awareness Session,Children,Adults,3,26,0,0,0,122,4.1
1/22/2025,Noida,Animal Welfare,Feed the Strays,NGO Partner,47063,118,27,34952,Camp,Youth,Adults,8,33,0,0,0,225,4.4
1/22/2025,Pune,Food Distribution,Zero Hunger,Crowdfunding,40698,100,10,29850,Fundraiser,All,Children,11,6,200,0,0,0,4.3
1/22/2025,Gwalior,Food Distribution,Zero Hunger,NGO Partner,82604,217,13,64768,Workshop,Women,Mixed,9,23,651,0,0,0,4
1/22/2025,Indore,Women Hygiene,Pink Care,NGO Partner,50109,150,26,36081,Distribution Drive,Youth,Teenagers,8,5,0,0,150,0,4
1/22/2025,Mumbai,Education,Back to School,Crowdfunding,31055,271,38,17310,Distribution Drive,All,Adults,22,15,0,0,0,0,4.9
1/23/2025,Bhopal,Education,Digital Learning,Corporate,27447,200,29,12474,Workshop,All,Adults,3,14,0,0,0,0,4.4
1/23/2025,Bhopal,Women Hygiene,Dignity Drive,NGO Partner,47015,343,37,29122,Distribution Drive,Women,Children,7,25,0,0,343,0,4.1
1/23/2025,Ahmedabad,Animal Welfare,Street Animal Drive,Crowdfunding,71243,195,16,43978,Awareness Session,Women,Adults,24,21,0,0,0,178,4.8
1/23/2025,Lucknow,Health Camp,Medical Camp,Crowdfunding,76157,202,25,45586,Training,All,Adults,12,13,0,0,0,0,4.9
1/24/2025,Gwalior,Food Distribution,Community Kitchen,NGO Partner,64816,231,33,49768,Camp,Children,Mixed,24,31,462,0,0,0,4.5
1/24/2025,Lucknow,Animal Welfare,Animal Care,Corporate,47063,133,32,22636,Training,All,Mixed,9,24,0,0,0,146,4.5
1/24/2025,Indore,Clothes Distribution,Winter Warmth,NGO Partner,51232,77,19,28029,Training,All,Mixed,19,35,0,154,0,0,4.1
1/24/2025,Noida,Education,Digital Learning,NGO Partner,74575,216,15,48940,Camp,Children,Mixed,6,10,0,0,0,0,4.2
1/24/2025,Indore,Health Camp,Blood Donation,NGO Partner,26347,158,45,17265,Awareness Session,Women,Mixed,25,19,0,0,0,0,4.4
1/25/2025,Delhi,Women Hygiene,Dignity Drive,Corporate,33785,53,27,18556,Training,Children,Teenagers,7,28,0,0,53,0,3.8
1/25/2025,Pune,Health Camp,Blood Donation,Individual,72598,296,25,33701,Distribution Drive,Children,Adults,9,8,0,0,0,0,3.6
1/25/2025,Bhopal,Education,Digital Learning,Individual,63779,315,19,39223,Workshop,All,Children,10,30,0,0,0,0,3.6
1/25/2025,Pune,Health Camp,Medical Camp,Crowdfunding,33162,343,20,20658,Camp,All,Mixed,8,34,0,0,0,0,3.7
1/25/2025,Lucknow,Health Camp,Medical Camp,Corporate,41134,155,32,22201,Camp,Children,Mixed,14,30,0,0,0,0,4.3
1/25/2025,Ahmedabad,Health Camp,Blood Donation,Crowdfunding,42346,300,22,32801,Distribution Drive,Children,Children,23,22,0,0,0,0,3.9
1/26/2025,Bhopal,Animal Welfare,Street Animal Drive,Corporate,32126,313,8,14880,Workshop,Women,Adults,4,6,0,0,0,123,3.7
1/26/2025,Mumbai,Health Camp,Medical Camp,Crowdfunding,33717,283,45,23540,Awareness Session,All,Adults,22,19,0,0,0,0,4.3
1/26/2025,Pune,Health Camp,Medical Camp,Individual,46904,209,11,26853,Workshop,Children,Mixed,18,33,0,0,0,0,4.4
1/26/2025,Jaipur,Women Hygiene,Pink Care,NGO Partner,28503,247,28,22469,Distribution Drive,All,Adults,14,33,0,0,247,0,3.9
1/26/2025,Gwalior,Animal Welfare,Feed the Strays,Individual,56272,192,29,41385,Training,Youth,Adults,17,21,0,0,0,94,3.6
1/26/2025,Delhi,Food Distribution,Community Kitchen,Crowdfunding,101053,262,30,69144,Fundraiser,Women,Mixed,25,27,262,0,0,0,3.7
1/27/2025,Delhi,Clothes Distribution,Winter Warmth,Individual,73296,121,45,45741,Workshop,Children,Mixed,23,30,0,121,0,0,3.5
1/27/2025,Lucknow,Education,Books for All,Crowdfunding,28973,236,29,15872,Camp,Youth,Mixed,3,8,0,0,0,0,3.9
1/27/2025,Noida,Food Distribution,Weekend Meal Drive,Corporate,68092,294,42,42986,Camp,Children,Mixed,22,29,588,0,0,0,3.7
1/27/2025,Pune,Education,Books for All,Individual,64532,340,29,29534,Camp,Women,Mixed,10,9,0,0,0,0,4.2
1/28/2025,Mumbai,Health Camp,Blood Donation,NGO Partner,47537,244,38,25512,Awareness Session,Children,Mixed,11,7,0,0,0,0,4.2
1/28/2025,Mumbai,Clothes Distribution,Festival Donation,Crowdfunding,54018,180,37,36700,Distribution Drive,All,Adults,3,35,0,360,0,0,4.2
1/28/2025,Delhi,Health Camp,Blood Donation,NGO Partner,38912,86,27,29030,Distribution Drive,Youth,Mixed,18,18,0,0,0,0,4.1
1/28/2025,Bhopal,Women Hygiene,Health Awareness,NGO Partner,63252,297,25,38235,Training,All,Adults,10,35,0,0,297,0,3.6
1/29/2025,Noida,Education,Back to School,Corporate,61469,176,23,40073,Distribution Drive,All,Mixed,25,6,0,0,0,0,3.9
1/29/2025,Ahmedabad,Women Hygiene,Health Awareness,Corporate,67138,172,10,52761,Workshop,All,Adults,21,15,0,0,172,0,4.5
1/29/2025,Delhi,Food Distribution,Weekend Meal Drive,Crowdfunding,52061,259,12,38264,Camp,Youth,Children,23,16,777,0,0,0,3.7
1/29/2025,Jaipur,Clothes Distribution,Winter Warmth,Individual,34531,104,43,17346,Distribution Drive,Women,Children,7,22,0,208,0,0,4.1
1/30/2025,Delhi,Women Hygiene,Health Awareness,Crowdfunding,55545,104,8,42732,Camp,Children,Children,23,19,0,0,104,0,4.8
1/30/2025,Jaipur,Clothes Distribution,Winter Warmth,Corporate,66801,249,41,37679,Fundraiser,Children,Teenagers,7,5,0,249,0,0,4.4
1/30/2025,Gwalior,Education,Books for All,Individual,33343,276,13,24992,Training,Youth,Mixed,25,5,0,0,0,0,4.7
1/30/2025,Pune,Animal Welfare,Feed the Strays,Individual,51463,265,19,35617,Training,Women,Mixed,18,8,0,0,0,109,4.6
1/31/2025,Ahmedabad,Clothes Distribution,Festival Donation,NGO Partner,69337,62,12,34213,Fundraiser,Children,Children,8,34,0,62,0,0,5
1/31/2025,Gwalior,Women Hygiene,Pink Care,Corporate,35517,224,19,18628,Workshop,Youth,Adults,23,30,0,0,224,0,4.9
1/31/2025,Gwalior,Women Hygiene,Pink Care,Individual,22716,114,40,10500,Awareness Session,Youth,Adults,19,10,0,0,114,0,3.6
1/31/2025,Gwalior,Food Distribution,Zero Hunger,Corporate,73649,96,15,33642,Awareness Session,Youth,Children,22,29,192,0,0,0,4.9
1/31/2025,Noida,Food Distribution,Weekend Meal Drive,NGO Partner,82667,227,44,59403,Camp,All,Children,16,30,227,0,0,0,4.2
2/1/2025,Indore,Health Camp,Medical Camp,Individual,51720,291,14,28486,Distribution Drive,Women,Teenagers,10,6,0,0,0,0,3.6
2/1/2025,Pune,Clothes Distribution,Festival Donation,NGO Partner,24144,208,43,12345,Camp,Children,Teenagers,14,24,0,416,0,0,3.6
2/1/2025,Jaipur,Food Distribution,Community Kitchen,Corporate,57616,310,28,28970,Camp,Youth,Adults,8,30,930,0,0,0,4.5
2/1/2025,Gwalior,Clothes Distribution,Winter Warmth,Crowdfunding,51311,55,32,28381,Awareness Session,Youth,Mixed,23,11,0,55,0,0,4.9
2/2/2025,Delhi,Women Hygiene,Pink Care,NGO Partner,66881,168,17,47812,Awareness Session,Children,Teenagers,19,19,0,0,168,0,4.5
2/2/2025,Mumbai,Women Hygiene,Health Awareness,Corporate,49386,195,13,25536,Distribution Drive,All,Teenagers,23,9,0,0,195,0,4
2/2/2025,Ahmedabad,Women Hygiene,Pink Care,NGO Partner,37886,301,37,21537,Workshop,Children,Children,21,12,0,0,301,0,5
2/2/2025,Bhopal,Education,Books for All,Individual,24550,186,27,16124,Fundraiser,Children,Children,15,19,0,0,0,0,4.6
2/2/2025,Jaipur,Food Distribution,Zero Hunger,Corporate,74957,270,36,38075,Distribution Drive,Women,Adults,6,7,270,0,0,0,4
2/3/2025,Lucknow,Health Camp,Medical Camp,Corporate,45799,130,33,30561,Fundraiser,All,Teenagers,13,20,0,0,0,0,4.1
2/3/2025,Gwalior,Clothes Distribution,Winter Warmth,Crowdfunding,73908,141,18,42815,Awareness Session,Children,Adults,22,33,0,141,0,0,4.4
2/3/2025,Mumbai,Clothes Distribution,Festival Donation,NGO Partner,51440,235,20,39726,Fundraiser,Women,Teenagers,22,24,0,235,0,0,5
2/3/2025,Delhi,Education,Digital Learning,Individual,56735,251,8,29600,Training,Children,Mixed,18,34,0,0,0,0,4.3
2/3/2025,Indore,Education,Back to School,Individual,21096,151,27,14976,Fundraiser,Women,Children,23,6,0,0,0,0,4.2
2/4/2025,Ahmedabad,Health Camp,Medical Camp,Corporate,56453,274,16,42536,Camp,Children,Children,7,11,0,0,0,0,4.8
2/4/2025,Gwalior,Clothes Distribution,Winter Warmth,Individual,24839,218,44,11562,Workshop,Youth,Mixed,16,19,0,436,0,0,4
2/4/2025,Mumbai,Clothes Distribution,Festival Donation,NGO Partner,24585,185,22,15594,Camp,Women,Mixed,6,23,0,185,0,0,4.7
2/4/2025,Bhopal,Education,Books for All,NGO Partner,40705,328,35,23950,Distribution Drive,All,Teenagers,13,19,0,0,0,0,4.2
2/5/2025,Pune,Animal Welfare,Feed the Strays,Corporate,53789,84,32,42946,Distribution Drive,Children,Teenagers,3,25,0,0,0,127,3.7
2/5/2025,Pune,Education,Back to School,Individual,75078,129,18,58390,Awareness Session,Children,Adults,24,5,0,0,0,0,3.8
2/5/2025,Indore,Women Hygiene,Pink Care,Corporate,32492,346,11,20268,Training,Youth,Mixed,8,9,0,0,346,0,3.9
2/5/2025,Bhopal,Women Hygiene,Health Awareness,Crowdfunding,31711,232,40,14954,Awareness Session,All,Teenagers,15,33,0,0,232,0,3.7
2/6/2025,Indore,Health Camp,Blood Donation,Individual,78482,81,40,58475,Awareness Session,Women,Adults,7,9,0,0,0,0,4.4
2/6/2025,Noida,Women Hygiene,Pink Care,Crowdfunding,49944,340,45,34786,Fundraiser,All,Adults,9,18,0,0,340,0,4.7
2/6/2025,Delhi,Education,Digital Learning,NGO Partner,37982,287,16,18903,Awareness Session,All,Mixed,13,25,0,0,0,0,3.8
2/6/2025,Indore,Clothes Distribution,Hope Closet,Crowdfunding,78235,290,29,51946,Awareness Session,Youth,Teenagers,18,28,0,290,0,0,4.9
2/6/2025,Delhi,Education,Books for All,Individual,77483,72,21,40144,Distribution Drive,Children,Teenagers,14,29,0,0,0,0,5
2/7/2025,Mumbai,Animal Welfare,Animal Care,Crowdfunding,79786,218,45,56965,Distribution Drive,Women,Teenagers,11,11,0,0,0,125,4.7
2/7/2025,Indore,Women Hygiene,Pink Care,Crowdfunding,24527,197,26,13917,Training,All,Teenagers,19,27,0,0,197,0,3.6
2/7/2025,Jaipur,Animal Welfare,Street Animal Drive,NGO Partner,42895,208,33,27882,Camp,Youth,Teenagers,6,32,0,0,0,72,3.9
2/7/2025,Lucknow,Animal Welfare,Feed the Strays,Individual,75574,64,14,38923,Fundraiser,Women,Adults,22,5,0,0,0,113,4.7
2/8/2025,Noida,Animal Welfare,Feed the Strays,Crowdfunding,52216,349,19,33273,Training,All,Teenagers,17,20,0,0,0,181,4.2
2/8/2025,Jaipur,Clothes Distribution,Hope Closet,NGO Partner,31705,223,41,15320,Distribution Drive,Youth,Children,13,11,0,223,0,0,3.8
2/8/2025,Lucknow,Animal Welfare,Feed the Strays,Corporate,27042,145,38,20421,Camp,Youth,Mixed,7,31,0,0,0,137,3.7
2/8/2025,Bhopal,Health Camp,Health Checkup,Individual,63904,137,17,30742,Training,Women,Adults,24,7,0,0,0,0,4
2/8/2025,Pune,Women Hygiene,Pink Care,Crowdfunding,33289,110,9,15496,Training,Children,Adults,5,6,0,0,110,0,3.7
2/9/2025,Pune,Food Distribution,Zero Hunger,Individual,54737,210,35,30944,Workshop,Children,Adults,24,30,420,0,0,0,4.2
2/9/2025,Jaipur,Health Camp,Blood Donation,NGO Partner,78964,51,27,56988,Awareness Session,Women,Adults,16,24,0,0,0,0,4.7
2/9/2025,Delhi,Education,Books for All,Individual,23944,84,29,18541,Distribution Drive,Children,Mixed,9,17,0,0,0,0,3.9
2/9/2025,Bhopal,Health Camp,Medical Camp,NGO Partner,34724,140,17,24235,Fundraiser,Children,Teenagers,4,30,0,0,0,0,5
